Name,Distance from Changi Airport in km,Hotel Stars,District,Distance from centre in metres,Number of Reviews,Guest Rating,Price in SGD,Extra Fees,Final Price,Subway Access,Love Hotel
Novotel Singapore On Stevens,17.8,4,Orchard,3700,999,8.50,390,69,459,0,0
Metropolitan YMCA Singapore,18,4,Orchard,4100,203,7.70,274,48,322,1,0
Park Hotel Clarke Quay,17.1,4,Robertson Quay,1100,"2,508",8.40,426,75,501,1,0
Fragrance Hotel - Lavender,14.2,2,Lavender,2500,21,6.40,177,31,208,1,1
Villa Samadhi Singapore by Samadhi,22.3,5,Bukit Merah,6000,262,8.90,595,105,700,1,0
"Amaris Hotel by Santika, Bugis - Singapore",15.5,2,Bugis,850000,106,7.20,224,40,264,1,0
Quality Hotel Marlow,15,4,Novena,3300,235,6.80,341,60,401,0,0
Kim Tian Hotel,12.1,2,Geylang,4200,34,5.70,143,0,143,1,0
Asphodel Inn,15,2,Lavender,2800,171,6.40,182,18,200,1,0
Jayleen Clarke Quay Hotel,16.7,3,Boat Quay,550000,174,7.60,262,0,262,1,0
Orchid Hotel,17.6,4,Chinatown,1800,565,8.30,356,63,419,1,0
Q Loft Hotels@Geylang,11.5,3,Geylang,4800,110,7.10,149,15,164,0,0
RedDoorz Premium @ Serangoon,15.4,4,Little India,1900,3,8.40,255,45,300,1,0
Hotel Re! @ Pearl's Hill,17.8,4,Pearl's Hill,1600,398,7.40,218,39,257,0,0
The Scarlet Singapore,17.3,4,Chinatown,1400,"1,044",8.50,384,68,452,1,0
ZEN Rooms Boat Quay,16.7,3,Boat Quay,600000,86,8.20,294,52,346,1,0
Amara Singapore,17.8,5,Shenton Way,2000,"1,823",8.10,371,66,437,1,0
ZEN Rooms Clarke Quay,16.7,3,Boat Quay,550000,91,7.30,204,36,240,1,0
Harbour Ville Hotel - Hamilton,14.3,3,Lavender,2600,147,6.50,198,20,218,1,0
RedDoorz Premium @ Balestier,15.2,4,Novena,3900,22,7.00,216,38,254,0,0
New Orchid Hotel,15.1,2,Novena,3800,137,5.60,144,26,170,0,0
Hotel Royal @ Queens,15.9,4,Victoria,800000,328,7.60,328,58,386,1,0
RedDoorz Plus near Lavender Street,14.4,3,Lavender,2800,111,6.30,180,0,180,1,0
XY Hotel Bugis by Asana Hotels and Resorts,14.8,4,Kampong Glam,1800,818,8.40,352,62,414,1,0
Hotel Clover 769 North Bridge Road,14.9,4,Kampong Glam,1700,731,8.10,262,46,308,1,0
Mayo Inn,15.4,3,Little India,1600,109,7.00,260,0,260,1,0
Courtyard by Marriott Singapore Novena,16,4,Novena,3500,253,8.50,353,62,415,1,0
Fragrance Hotel - Viva,21,2,Bukit Merah,4800,74,7.00,197,35,232,1,1
Jayleen 1918,16.7,3,Boat Quay,550000,113,6.90,328,58,386,1,0
Kim Tian Hotel (Star),12.8,2,Geylang,3600,8,6.30,153,0,153,0,0
Park Hotel Farrer Park,15.1,4,Farrer Park,2500,"1,476",8.20,312,55,367,1,0
ZEN Rooms Farrer Park,14.5,3,Lavender,2700,61,6.40,208,37,245,1,0
ZEN Rooms Geylang,11.1,1,Geylang,5000,144,7.00,155,28,183,1,0
The Noble Hotel,14.4,3,Lavender,2800,86,7.00,182,0,182,1,0
ZEN Rooms Bukit Merah,19.5,3,Bukit Merah,3400,21,6.20,223,39,262,0,0
Sheraton Towers Singapore Hotel,17,5,Orchard,3000,"1,255",8.30,424,75,499,1,0
The Seacare Hotel,17.5,4,Pearl's Hill,1400,134,7.30,251,44,295,0,0
ZEN Rooms Stevens Road,17.9,3,Orchard,4100,16,8.20,299,53,352,1,0
ZEN Rooms People's Park Complex,17.3,3,Chinatown,1100,41,7.50,263,47,310,1,0
"The Vagabond Club, A Tribute Portfolio Hotel by Marriott, Singapore",14.8,5,Jalan Besar,2000,139,8.90,498,88,586,1,0
Ann Siang House,17.3,4,Chinatown,1300,164,9.00,510,90,600,1,0
ZEN Rooms Orchard,18.1,4,Orchard,3900,9,7.40,311,55,366,0,0
Ambassador Transit Lounge Terminal 3,0.7,3,Changi,16000,209,7.00,235,0,235,1,0
Ambassador Transit Lounge Terminal 2,0.6,3,Changi,16000,400,7.1,235,0,235,1,0
